scenario,strategy,seed,profile,accident_time,blockage_time,initial_route,final_route,initial_eta,replanned_eta,blockage_detection_time,replanning_trigger_time,replanning_completion_time,ambulance_dispatch_time,ambulance_arrival_time,actual_travel_time,response_time,eta_error,number_of_replans,successful_route_changes,route_changed,replanning_latency,planner_computation_ms,completion_status,teleported,completed,normal_traffic_waiting_time,normal_traffic_time_loss,normal_traffic_arrivals,network_throughput_vehicles_per_hour,average_vehicle_speed
S01,static,1,normal,300,,,,,,,,,,,,,,0,0,False,,0,NOT_APPLICABLE,False,False,8.116809116809117,12.903048433048435,335,1340.0,7.369804175230827
S01,dynamic,1,normal,300,,,,,,,,,,,,,,0,0,False,,0,NOT_APPLICABLE,False,False,8.116809116809117,12.903048433048435,335,1340.0,7.369804175230827
S02,static,1,normal,300,,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.778927696915208,,,,,301.0,333.0,32.0,33.0,6.221072303084792,0,0,False,,0.052834000598522834,SUCCESS,False,True,8.13960113960114,12.910968660968662,335,1340.0,7.357768645292766
S02,dynamic,1,normal,300,,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.778927696915208,,,,,301.0,333.0,32.0,33.0,6.221072303084792,0,0,False,,0.8264150001195958,SUCCESS,False,True,8.13960113960114,12.910968660968662,335,1340.0,7.357768645292766
S03,static,1,normal,300,,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.683230088680006,,,,,301.0,333.0,32.0,33.0,6.316769911319994,0,0,False,,0.04466700011107605,SUCCESS,False,True,8.104562737642585,13.025399239543725,503,2012.0,7.306900198219898
S03,dynamic,1,normal,300,,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.683230088680006,,,,,301.0,333.0,32.0,33.0,6.316769911319994,0,0,False,,0.8685010052431608,SUCCESS,False,True,8.104562737642585,13.025399239543725,503,2012.0,7.306900198219898
S04,static,1,normal,300,,E13 -> E5 -> E19 -> E11,E13 -> E5 -> E19 -> E11,25.343465702358458,,302.0,,,301.0,335.0,34.0,35.0,8.656534297641542,0,0,False,,0.04433299909578636,SUCCESS,False,True,8.034188034188034,12.843219373219373,336,1344.0,7.370224885109787
S04,dynamic,1,normal,300,,E13 -> E5 -> E19 -> E11,E13 -> E5 -> E19 -> E11,25.343465702358458,,302.0,,,301.0,335.0,34.0,35.0,8.656534297641542,0,0,False,,1.0797079958138056,SUCCESS,False,True,8.034188034188034,12.843219373219373,336,1344.0,7.370224885109787
S05,static,1,normal,300,307,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.778927696915208,,314.0,,,301.0,,,,,0,0,False,,0.04229199839755893,TELEPORTED,True,False,8.014245014245015,12.814757834757833,336,1344.0,7.370164400882519
S05,dynamic,1,normal,300,307,E13 -> E5 -> E7 -> E23,E5 -> E19 -> E11,25.778927696915208,22.13989501815591,314.0,,,301.0,335.0,34.0,35.0,8.221072303084792,1,1,True,,0.6686630040348973,SUCCESS,False,True,8.014245014245015,12.816296296296295,336,1344.0,7.367897949280637
S06,static,1,normal,300,307,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.778927696915208,,314.0,,,301.0,,,,,0,0,False,,0.03779100006795488,TELEPORTED,True,False,8.15954415954416,12.926353276353275,335,1340.0,7.347254132597925
S06,dynamic,1,normal,300,307,E13 -> E5 -> E7 -> E23,E5 -> E19 -> E11,25.778927696915208,60.028407611914446,314.0,,,301.0,,,,,1,1,True,,6.861253004899481,TELEPORTED,True,False,8.162393162393162,12.926723646723646,335,1340.0,7.345244719430997
S07,static,1,normal,300,,E13 -> E5 -> E7 -> E23,E13 -> E5 -> E7 -> E23,25.778927696915208,,,,,301.0,397.0,96.0,97.0,70.2210723030848,0,0,False,,0.038624999433523044,SUCCESS,False,True,13.288461538461538,23.271490384615387,385,1540.0,4.9288544191084105
S07,dynamic,1,normal,300,,E13 -> E5 -> E7 -> E23,E5 -> E19 -> E11,25.778927696915208,22.13989501815591,,,,301.0,335.0,34.0,35.0,8.221072303084792,1,1,True,,0.6092950025049504,SUCCESS,False,True,13.3621103117506,23.33606714628297,385,1540.0,4.908785012441404
